,city-id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,237,Bathsheba,13.2167,-59.5167,84.81,70,40,24.16,BB,2021-10-22 21:51:34
239,239,Tessalit,20.1986,1.0114,83.35,21,1,8.95,ML,2021-10-22 21:51:35
240,240,Port-Gentil,-0.7193,8.7815,78.76,89,90,9.22,GA,2021-10-22 21:51:35
241,241,Sur,22.5667,59.5289,81.03,63,5,6.55,OM,2021-10-22 21:51:35
242,242,Puerto El Triunfo,13.2833,-88.55,83.16,75,48,5.57,SV,2021-10-22 21:51:36
243,243,Lakatoro,-16.0999,167.4164,82.38,75,45,3.85,VU,2021-10-22 21:51:36
244,244,Lar,26.2039,83.9717,70.14,66,0,2.89,IN,2021-10-22 21:51:36
245,245,Ughelli,5.4899,6.0074,73.04,97,100,2.51,NG,2021-10-22 21:51:37
246,246,Araouane,18.9048,-3.5265,82.27,20,7,7.63,ML,2021-10-22 21:51:37
248,248,Umm Kaddadah,13.6017,26.6876,84.63,24,18,10.92,SD,2021-10-22 21:51:37
255,255,Karratha,-20.7377,116.8463,80.4,30,18,8.88,AU,2021-10-22 21:51:39
256,256,Finschhafen,-6.6024,147.8681,80.87,75,100,14.54,PG,2021-10-22 21:51:40
258,258,Poum,-20.2333,164.0167,74.12,76,3,8.5,NC,2021-10-22 21:51:40
260,260,Gushikawa,26.3544,127.8686,72.63,62,90,10.36,JP,2021-10-22 21:51:41
264,264,Cayenne,4.9333,-52.3333,82.44,82,92,1.01,GF,2021-10-22 21:47:38
266,266,Sakakah,29.9697,40.2064,72.97,30,0,9.44,SA,2021-10-22 21:51:43
267,267,Waingapu,-9.6567,120.2641,78.1,78,100,3.02,ID,2021-10-22 21:51:43
270,270,Chinna Salem,11.65,78.9,76.71,90,99,2.04,IN,2021-10-22 21:51:44
271,271,Antsohihy,-14.8796,47.9875,77.0,77,71,1.36,MG,2021-10-22 21:51:45
276,276,Lamu,-2.2717,40.902,75.42,80,28,9.78,KE,2021-10-22 21:51:14
278,278,Nacogdoches,31.6002,-94.6335,86.11,46,1,5.75,US,2021-10-22 21:49:52
282,282,Marica,-22.9194,-42.8186,73.56,78,11,10.56,BR,2021-10-22 21:49:18
283,283,Riverton,40.5219,-111.9391,73.44,27,1,1.01,US,2021-10-22 21:51:48
285,285,Thinadhoo,0.5333,72.9333,82.71,69,19,11.16,MV,2021-10-22 21:51:48
286,286,San Patricio,28.017,-97.5169,88.48,52,100,9.46,US,2021-10-22 21:51:49
287,287,Mount Pleasant,32.7941,-79.8626,81.05,74,1,7.0,US,2021-10-22 21:49:15
291,291,Kousseri,12.0769,15.0306,84.16,65,96,2.3,CM,2021-10-22 21:51:50
292,292,Tremedal,-14.9758,-41.4108,76.26,70,88,5.7,BR,2021-10-22 21:51:50
293,293,Pompeu,-19.2244,-44.9353,72.21,61,6,4.63,BR,2021-10-22 21:51:51
294,294,Bentiu,9.2333,29.8333,77.0,67,76,4.5,SS,2021-10-22 21:51:51
299,299,Qiongshan,20.0058,110.3542,71.58,78,90,11.18,CN,2021-10-22 21:51:53
304,304,Arraial Do Cabo,-22.9661,-42.0278,71.46,78,0,14.97,BR,2021-10-22 21:49:06
306,306,Bandarbeyla,9.4942,50.8122,77.25,79,75,5.88,SO,2021-10-22 21:51:54
309,309,Tomball,30.0972,-95.6161,88.54,57,1,3.44,US,2021-10-22 21:50:35
312,312,Buin,-33.7333,-70.75,70.12,37,21,10.11,CL,2021-10-22 21:51:56
317,317,Itoman,26.1247,127.6694,73.42,62,75,16.11,JP,2021-10-22 21:51:57
320,320,Ilheus,-14.7889,-39.0494,78.62,89,75,11.5,BR,2021-10-22 21:47:17
323,323,Micheweni,-4.9667,39.8333,75.92,77,9,7.31,TZ,2021-10-22 21:51:59
339,339,Tallahassee,30.4383,-84.2807,86.2,60,75,6.91,US,2021-10-22 21:50:52
343,343,Male,4.1748,73.5089,82.35,78,75,9.22,MV,2021-10-22 21:51:01
348,348,Ajdabiya,30.7554,20.2263,73.27,39,57,11.77,LY,2021-10-22 21:52:07
350,350,Tanout,14.9709,8.8879,88.77,29,67,10.56,NE,2021-10-22 21:52:07
351,351,Sisophon,13.5859,102.9737,72.66,95,100,9.64,KH,2021-10-22 21:52:07
361,361,Kavaratti,10.5669,72.642,81.32,78,46,4.65,IN,2021-10-22 21:52:11
362,362,Kalakamati,-20.5929,27.3121,73.45,45,21,5.06,BW,2021-10-22 21:52:11
364,364,Grand-Lahou,5.1367,-5.0242,77.79,87,95,7.83,CI,2021-10-22 21:52:12
366,366,Samarinda,-0.5,117.15,73.11,96,100,2.24,ID,2021-10-22 21:52:12
369,369,Waw,7.7029,27.9953,74.01,83,85,3.96,SS,2021-10-22 21:52:13
370,370,Galdar,28.147,-15.6502,70.36,68,17,11.88,ES,2021-10-22 21:52:14
371,371,Kupang,-10.1667,123.5833,79.38,94,20,4.61,ID,2021-10-22 21:52:14
373,373,Santa Isabel Do Rio Negro,-0.4139,-65.0192,81.37,75,84,1.16,BR,2021-10-22 21:52:15
379,379,Dingle,10.9995,122.6711,74.39,96,86,6.06,PH,2021-10-22 21:52:17
382,382,Adrar,20.5022,-10.0711,76.23,21,2,9.08,MR,2021-10-22 21:52:18
384,384,Oranjestad,12.524,-70.027,84.15,79,20,21.85,AW,2021-10-22 21:52:18
390,390,Honiara,-9.4333,159.95,84.11,67,5,6.73,SB,2021-10-22 21:49:43
391,391,Praya,14.9215,-23.5087,81.14,69,0,13.8,CV,2021-10-22 21:52:20
394,394,Monrovia,6.3005,-10.7969,78.57,86,100,6.22,LR,2021-10-22 21:52:21
395,395,Santa Fe,-31.6333,-60.7,77.0,39,80,5.01,AR,2021-10-22 21:52:21
397,397,Kaoma,-14.7833,24.8,74.44,51,96,2.8,ZM,2021-10-22 21:52:22
398,398,Anloga,5.7947,0.8973,80.82,80,92,11.25,GH,2021-10-22 21:52:22
400,400,Lake Havasu City,34.4839,-114.3224,87.24,13,1,3.0,US,2021-10-22 21:52:23
407,407,Kandrian,-6.2167,149.55,79.34,83,100,8.14,PG,2021-10-22 21:52:26
412,412,Ilebo,-4.3167,20.5833,70.56,97,83,1.21,CD,2021-10-22 21:52:27
416,416,Sao Filipe,14.8961,-24.4956,81.81,61,0,8.86,CV,2021-10-22 21:52:29
420,420,Bhanvad,21.9264,69.7736,74.62,71,7,6.24,IN,2021-10-22 21:52:30
421,421,Taoudenni,22.6783,-3.9836,80.87,23,1,6.44,ML,2021-10-22 21:52:30
422,422,Ribas Do Rio Pardo,-20.4431,-53.7592,82.44,44,29,8.32,BR,2021-10-22 21:52:30
425,425,Paita,-5.0892,-81.1144,72.16,80,64,16.46,PE,2021-10-22 21:52:31
428,428,Ambilobe,-13.2,49.05,73.83,88,96,2.15,MG,2021-10-22 21:52:32
429,429,Trincomalee,8.5711,81.2335,80.4,80,73,2.95,LK,2021-10-22 21:52:33
431,431,Conde,-7.2597,-34.9075,80.06,78,20,8.05,BR,2021-10-22 21:52:07
432,432,Makakilo City,21.3469,-158.0858,84.52,59,75,11.5,US,2021-10-22 21:52:33
437,437,Beatrice,40.2681,-96.747,75.18,37,1,8.05,US,2021-10-22 21:52:35
439,439,Madiun,-7.6298,111.5239,76.95,84,100,2.68,ID,2021-10-22 21:52:36
440,440,Koungheul,13.9833,-14.8,84.27,26,29,6.35,SN,2021-10-22 21:52:36
444,444,High Rock,26.6208,-78.2833,77.02,70,100,9.26,BS,2021-10-22 21:52:37
446,446,Bella Union,-30.2752,-57.6007,71.08,53,0,6.8,UY,2021-10-22 21:52:38
447,447,Galle,6.0367,80.217,79.54,74,41,5.28,LK,2021-10-22 21:52:38
449,449,Tautira,-17.7333,-149.15,77.02,84,89,23.64,PF,2021-10-22 21:52:39
453,453,Rafaela,-31.2503,-61.4867,80.01,27,23,5.99,AR,2021-10-22 21:52:40
456,456,Alice Town,25.7167,-79.3,81.19,74,100,11.54,BS,2021-10-22 21:52:41
458,458,Jasper,37.2001,-94.3502,75.81,38,1,3.0,US,2021-10-22 21:52:42
464,464,Port Keats,-14.25,129.55,84.25,73,44,9.19,AU,2021-10-22 21:52:43
465,465,Oussouye,12.485,-16.5469,84.38,77,12,6.13,SN,2021-10-22 21:52:43
470,470,Caxito,-8.5785,13.6643,76.78,82,90,3.96,AO,2021-10-22 21:52:45
471,471,Awbari,26.5921,12.7805,78.26,21,68,9.93,LY,2021-10-22 21:52:45
472,472,Tuban,-6.8976,112.0649,80.01,78,100,2.93,ID,2021-10-22 21:52:46
473,473,Mount Isa,-20.7333,139.5,73.17,73,89,20.71,AU,2021-10-22 21:52:46
480,480,Iberia,29.9502,-91.7507,87.8,51,20,0.0,US,2021-10-22 21:52:48
482,482,Kabwe,-14.4469,28.4464,71.46,46,46,4.43,ZM,2021-10-22 21:52:49
488,488,Cabedelo,-6.9811,-34.8339,81.27,77,82,11.07,BR,2021-10-22 21:52:51
491,491,Carutapera,-1.195,-46.02,76.6,91,99,6.04,BR,2021-10-22 21:52:52
495,495,Manuk Mangkaw,4.8,119.85,80.06,82,100,9.78,PH,2021-10-22 21:52:53
496,496,Marsa Matruh,31.3525,27.2453,70.0,60,40,4.61,EG,2021-10-22 21:52:53
501,501,Lorengau,-2.0226,147.2712,83.64,71,91,8.79,PG,2021-10-22 21:52:54
507,507,Santa Luzia,-19.7697,-43.8514,81.68,46,40,3.44,BR,2021-10-22 21:52:56
508,508,Caravelas,-17.7125,-39.2481,73.71,83,94,7.45,BR,2021-10-22 21:52:57
509,509,Yarada,17.65,83.2667,79.12,100,75,2.3,IN,2021-10-22 21:52:57
513,513,Guymon,36.6828,-101.4816,82.47,24,1,4.61,US,2021-10-22 21:52:58
515,515,Rio Rancho,35.2334,-106.6645,78.44,17,1,1.01,US,2021-10-22 21:52:59
520,520,Itacurubi Del Rosario,-24.5,-56.6833,75.78,72,1,5.91,PY,2021-10-22 21:53:00
528,528,Chipata,-13.6333,32.65,70.99,47,3,4.99,ZM,2021-10-22 21:53:03
532,532,Sapa,5.1544,120.3241,78.01,86,100,4.47,PH,2021-10-22 21:53:04
533,533,Jalu,29.0331,21.5482,71.44,39,0,8.75,LY,2021-10-22 21:53:04
535,535,Jutai,-5.1833,-68.9,79.43,87,93,1.97,BR,2021-10-22 21:53:05
543,543,Peto,20.1333,-88.9167,83.93,65,96,2.84,MX,2021-10-22 21:53:07
545,545,Bonanza,14.0289,-84.591,76.32,96,85,2.26,NI,2021-10-22 21:53:07
546,546,Bondoukou,8.0333,-2.8,73.36,88,72,5.14,CI,2021-10-22 21:53:08
547,547,Puerto Escondido,15.85,-97.0667,77.36,92,100,9.44,MX,2021-10-22 21:53:08
548,548,Mandali,33.7499,45.5541,72.77,22,0,8.28,IQ,2021-10-22 21:53:08
551,551,Lufilufi,-13.8745,-171.5986,85.78,75,27,18.03,WS,2021-10-22 21:53:09
553,553,Teknaf,20.8624,92.3058,74.19,85,100,4.32,BD,2021-10-22 21:53:10
556,556,Buala,-8.145,159.5921,83.53,73,30,9.17,SB,2021-10-22 21:53:11
557,557,Woodward,36.4337,-99.3904,79.72,51,1,14.97,US,2021-10-22 21:53:11
558,558,Madimba,-10.4,40.3333,73.9,83,7,3.78,TZ,2021-10-22 21:53:12
560,560,Puerto Leguizamo,-0.1934,-74.7819,78.73,89,96,1.57,CO,2021-10-22 21:53:12
561,561,Tambacounda,13.7539,-13.7586,84.25,74,0,4.61,SN,2021-10-22 21:53:13
563,563,Itaberai,-16.0203,-49.8103,78.69,55,69,1.88,BR,2021-10-22 21:53:13
565,565,Manacapuru,-3.2997,-60.6206,79.38,68,98,3.24,BR,2021-10-22 21:53:14
566,566,Tuy Hoa,13.0833,109.3,76.46,92,99,4.36,VN,2021-10-22 21:53:14
567,567,Kano,12.0001,8.5167,74.73,72,17,8.23,NG,2021-10-22 21:53:14
568,568,Rio Verde De Mato Grosso,-18.9181,-54.8442,88.12,37,61,4.16,BR,2021-10-22 21:53:14
569,569,Kerema,-7.9631,145.7785,79.2,83,85,7.99,PG,2021-10-22 21:53:15
570,570,Salalah,17.0151,54.0924,75.09,74,81,2.37,OM,2021-10-22 21:53:15
571,571,Buraydah,26.326,43.975,75.65,32,0,8.99,SA,2021-10-22 21:53:16
575,575,Ambulu,-8.345,113.6058,76.48,89,100,1.28,ID,2021-10-22 21:53:17
578,578,Santa Rosa,14.3122,121.1114,79.86,79,95,7.05,PH,2021-10-22 21:53:18
579,579,Buta,2.7858,24.73,70.02,94,99,1.88,CD,2021-10-22 21:53:18
581,581,Iracoubo,5.4802,-53.2011,78.39,88,89,9.91,GF,2021-10-22 21:53:19
582,582,Ullal,12.8,74.85,79.75,89,75,0.0,IN,2021-10-22 21:53:19
592,592,Aripuana,-9.1667,-60.6333,82.71,68,100,1.1,BR,2021-10-22 21:53:22
599,599,Simplicio Mendes,-7.8539,-41.9103,82.85,53,69,2.71,BR,2021-10-22 21:53:24
600,600,Tomatlan,19.9333,-105.25,88.07,67,57,9.6,MX,2021-10-22 21:53:24
601,601,Ejido,8.5514,-71.2375,71.37,93,99,1.68,VE,2021-10-22 21:53:24
603,603,Moindou,-21.6924,165.677,75.15,74,7,4.76,NC,2021-10-22 21:53:25
604,604,Bom Jardim,-7.7958,-35.5872,74.48,80,84,9.44,BR,2021-10-22 21:53:25
609,609,Daguma,6.5867,124.5472,75.09,90,100,2.39,PH,2021-10-22 21:53:27
611,611,Berbera,10.4396,45.0143,83.79,60,20,8.86,SO,2021-10-22 21:53:27
613,613,Negombo,7.2083,79.8358,77.05,88,75,3.44,LK,2021-10-22 21:53:28
616,616,Niquelandia,-14.4739,-48.4597,75.38,78,93,3.62,BR,2021-10-22 21:50:54
617,617,Samarai,-10.6167,150.6667,82.11,71,100,10.04,PG,2021-10-22 21:53:29
621,621,Bela,25.9333,81.9833,70.3,61,0,3.04,IN,2021-10-22 21:53:30
623,623,Savannah Bight,16.45,-85.85,87.85,76,99,13.42,HN,2021-10-22 21:53:31
624,624,Ixtapa,20.7,-105.2,88.23,79,37,5.01,MX,2021-10-22 21:53:31
625,625,Almeirim,-1.5233,-52.5817,81.01,71,97,1.41,BR,2021-10-22 21:53:32
626,626,Alofi,-19.0595,-169.9187,78.69,57,81,14.97,NU,2021-10-22 21:53:32
629,629,Maceio,-9.6658,-35.7353,81.84,83,0,9.22,BR,2021-10-22 21:53:33
630,630,Sibolga,1.7427,98.7792,77.11,83,100,2.26,ID,2021-10-22 21:53:33
633,633,Cairns,-16.9167,145.7667,84.11,80,96,8.05,AU,2021-10-22 21:53:34
634,634,Cabinda,-5.55,12.2,77.85,82,62,7.78,AO,2021-10-22 21:53:34
636,636,Marabba,12.35,32.1833,87.75,34,48,7.7,SD,2021-10-22 21:53:35
638,638,Ternate,0.8,127.4,81.0,76,76,2.13,ID,2021-10-22 21:53:35
640,640,Kahului,20.8947,-156.47,87.82,58,20,24.16,US,2021-10-22 21:53:36
641,641,Areia Branca,-4.9561,-37.1369,82.6,76,72,16.13,BR,2021-10-22 21:53:36
642,642,Berekum,7.4534,-2.584,71.4,97,67,4.68,GH,2021-10-22 21:53:36
645,645,Penal,10.1667,-61.4667,83.01,86,90,11.16,TT,2021-10-22 21:53:37
646,646,Saint-Pierre,-21.3393,55.4781,73.08,82,0,3.44,RE,2021-10-22 21:53:38
647,647,Srikakulam,18.3,83.9,76.5,87,97,4.9,IN,2021-10-22 21:53:38
649,649,Bacolod,10.6667,122.95,77.07,86,92,7.4,PH,2021-10-22 21:53:23
653,653,Dakar,14.6937,-17.4441,82.53,74,0,2.3,SN,2021-10-22 21:53:40
654,654,Mayumba,-3.432,10.6554,77.02,87,96,6.73,GA,2021-10-22 21:53:40
655,655,Ormara,25.2088,64.6357,79.57,35,0,16.11,PK,2021-10-22 21:53:40
